,ids
1522,268925
1523,268926
1524,727678
1525,498305
1526,268935
1527,268939
1528,1153676
1529,268947
1530,39572
1531,1153690
1532,498331
1533,727707
1534,957083
1535,924319
1536,1153696
1537,105123
1538,268965
1539,72360
1540,760502
1541,694968
1542,891578
1543,432835
1544,531141
1545,1186513
1546,105177
1547,105182
1548,498398
1549,105185
1550,793320
1551,662265
1552,72457
1553,170761
1554,269067
1555,39691
1556,170773
1557,72469
1558,826144
1559,826147
1560,498468
1561,269099
1562,826155
1563,826157
1564,334638
1565,1022767
1566,432944
1567,957233
1568,990006
1569,826169
1570,990010
1571,269123
1572,39750
1573,170825
1574,269130
1575,334668
1576,138076
1577,334687
1578,39781
1579,39806
1580,236421
1581,433031
1582,72587
1583,433037
1584,72595
1585,1055636
1586,301972
1587,39830
1588,301976
1589,301983
1590,203685
1591,39845
1592,793519
1593,367539
1594,1186744
1595,924601
1596,72641
1597,367557
1598,334794
1599,170967
1600,105436
1601,105442
1602,72674
1603,334824
1604,269292
1605,662510
1606,662511
1607,662518
1608,72695
1609,924662
1610,859138
1611,72708
1612,924679
1613,859143
1614,564239
1615,72723
1616,760853
1617,39957
1618,39959
1619,498716
1620,793628
1621,564252
1622,957475
1623,498724
1624,695342
1625,826419
1626,924724
1627,826423
1628,924729
1629,826425
1630,203836
1631,924733
1632,826432
1633,498762
1634,695373
1635,40016
1636,105553
1637,105554
1638,334931
1639,203860
1640,236630
1641,40023
1642,302167
1643,72801
1644,990311
1645,466026
1646,40048
1647,105585
1648,236661
1649,269429
1650,334966
1651,334968
1652,203897
1653,236666
1654,334969
1655,433274
1656,334971
1657,334972
1658,138365
1659,466048
1660,203900
1661,334978
1662,924802
1663,138366
1664,629893
1665,334982
1666,334981
1667,138377
1668,72843
1669,826509
1670,433296
1671,40080
1672,367768
1673,859311
1674,433335
1675,269499
1676,695488
1677,1121478
1678,1055945
1679,924875
1680,1023184
1681,72913
1682,72914
1683,302295
1684,269528
1685,1121502
1686,1121508
1687,1154277
1688,40170
1689,302319
1690,138481
1691,72946
1692,1055986
1693,466164
1694,72957
1695,400640
1696,1023233
1697,138497
1698,1121540
1699,859397
1700,40205
1701,72975
1702,1023258
1703,269595
1704,40240
1705,138548
1706,40247
1707,302396
1708,302398
1709,302399
1710,499012
1711,138564
1712,1154372
1713,761159
1714,269640
1715,40264
1716,138565
1717,73078
1718,269688
1719,302459
1720,73085
1721,695679
1722,138624
1723,466330
1724,466332
1725,105891
1726,335268
1727,925093
1728,826788
1729,859559
1730,761257
1731,1121710
1732,1121713
1733,1121714
1734,335285
1735,1121718
1736,73152
1737,597453
1738,138703
1739,204240
1740,499154
1741,105942
1742,597466
1743,138718
1744,105952
1745,564705
1746,564706
1747,663015
1748,40428
1749,171514
1750,302590
1751,269826
1752,105990
1753,400919
1754,106012
1755,73246
1756,925215
1757,695841
1758,532003
1759,695856
1760,925233
1761,925236
1762,269876
1763,204344
1764,400952
1765,335421
1766,1056323
1767,794185
1768,138829
1769,73295
1770,73298
1771,433753
1772,466523
1773,532080
1774,269960
1775,433805
1776,630414
1777,302736
1778,925333
1779,368279
1780,302744
1781,40601
1782,433822
1783,302752
1784,1023653
1785,335527
1786,40619
1787,335534
1788,40636
1789,630463
1790,433865
1791,106186
1792,564939
1793,73419
1794,270025
1795,73423
1796,40657
1797,270036
1798,40662
1799,40663
1800,270050
1801,73446
1802,564967
1803,270059
1804,663276
1805,564972
1806,564971
1807,1187567
1808,40689
1809,40690
1810,171769
1811,73471
1812,270080
1813,532228
1814,433926
1815,73479
1816,40720
1817,40722
1818,302879
1819,1056548
1820,73509
1821,630568
1822,7978
1823,171819
1824,204588
1825,401198
1826,1089339
1827,696124
1828,73541
1829,401223
1830,1154887
1831,728908
1832,73556
1833,171864
1834,401241
1835,302938
1836,663394
1837,597860
1838,302948
1839,8044
1840,237435
1841,40828
1842,630662
1843,1089418
1844,335754
1845,40852
1846,728983
1847,466847
1848,466852
1849,401322
1850,73647
1851,73657
1852,860090
1853,532412
1854,40900
1855,40912
1856,368593
1857,73700
1858,303081
1859,925676
1860,761839
1861,696319
1862,1089539
1863,335875
1864,335883
1865,696333
1866,270349
1867,303117
1868,466959
1869,663570
1870,696339
1871,40981
1872,368663
1873,335898
1874,794657
1875,434212
1876,860201
1877,368685
1878,401453
1879,663603
1880,1187894
1881,73787
1882,434238
1883,827459
1884,958532
1885,237641
1886,41042
1887,1056855
1888,73819
1889,73820
1890,925790
1891,73825
1892,860263
1893,860265
1894,729203
1895,303220
1896,73850
1897,303227
1898,73852
1899,434303
1900,139406
1901,532630
1902,41120
1903,270501
1904,139434
1905,303275
1906,41130
1907,41132
1908,204971
1909,41135
1910,303282
1911,1155256
1912,303292
1913,237761
1914,41156
1915,925897
1916,532682
1917,532690
1918,73938
1919,41179
1920,41180
1921,467167
1922,205034
1923,991470
1924,401654
1925,41210
1926,41215
1927,41216
1928,368898
1929,893190
1930,1188103
1931,41233
1932,729365
1933,794902
1934,860439
1935,74008
1936,270624
1937,1089824
1938,270626
1939,41251
1940,1155368
1941,368938
1942,270636
1943,532783
1944,303417
1945,270650
1946,762169
1947,41283
1948,139596
1949,270669
1950,74060
1951,205140
1952,467291
1953,827752
1954,565608
1955,794993
1956,1089915
1957,631164
1958,467325
1959,106878
1960,795004
1961,270717
1962,41345
1963,41342
1964,401799
1965,106891
1966,1057163
1967,41360
1968,1188243
1969,532885
1970,795031
1971,401816
1972,41371
1973,401823
1974,172454
1975,41382
1976,270763
1977,139694
1978,74161
1979,41397
1980,795064
1981,41402
1982,532924
1983,1024446
1984,41409
1985,74184
1986,631241
1987,270795
1988,1155546
1989,41436
1990,41439
1991,270818
1992,303587
1993,205282
1994,41445
1995,41447
1996,664039
1997,270828
1998,74227
1999,74229
2000,303609
2001,270848
2002,827905
2003,172546
2004,336387
2005,270852
2006,41479
2007,270855
2008,270862
2009,172558
2010,74259
2011,41505
2012,991780
2013,893476
2014,41515
2015,238126
2016,1024563
2017,74297
2018,1090117
2019,533065
2020,1057358
2021,74322
2022,41556
2023,500313
2024,434778
2025,926301
2026,893533
2027,828004
2028,893540
2029,795240
2030,270954
2031,270955
2032,1188460
2033,270957
2034,74352
2035,238194
2036,238195
2037,598644
2038,336504
2039,41592
2040,270970
2041,303747
2042,41603
2043,664203
2044,41616
2045,926353
2046,107152
2047,631444
2048,172702
2049,696998
2050,41639
2051,664233
2052,271018
2053,271023
2054,467633
2055,74424
2056,172732
2057,107206
2058,271049
2059,336586
2060,107213
2061,74447
2062,860882
2063,434899
2064,74454
2065,74471
2066,107255
2067,74492
2068,41728
2069,434944
2070,860931
2071,41733
2072,762637
2073,402195
2074,729878
2075,467735
2076,74518
2077,729882
2078,271134
2079,107297
2080,41761
2081,762659
2082,369446
2083,631592
2084,303914
2085,992049
2086,74546
2087,271159
2088,205625
2089,140096
2090,271169
2091,140099
2092,729929
2093,533325
2094,303949
2095,336720
2096,74579
2097,271190
2098,435034
2099,41827
2100,1188710
2101,172903
2102,566120
2103,271212
2104,303989
2105,303992
2106,304000
2107,861060
2108,74637
2109,730004
2110,664483
2111,992163
2112,41894
2113,795558
2114,107433
2115,697258
2116,74669
2117,336826
2118,336836
2119,41928
2120,336842
2121,336844
2122,205774
2123,467923
2124,1188824
2125,74727
2126,74734
2127,336883
2128,861172
2129,402422
2130,1025027
2131,41988
2132,336901
2133,205832
2134,41994
2135,41997
2136,41999
2137,402451
2138,500757
2139,435221
2140,1090583
2141,795678
2142,730149
2143,74793
2144,631852
2145,730158
2146,304186
2147,369730
2148,42053
2149,42057
2150,468044
2151,238669
2152,1156173
2153,795730
2154,1123411
2155,304216
2156,369763
2157,205926
2158,271474
2159,926838
2160,271485
2161,74882
2162,926851
2163,1156226
2164,369800
2165,74890
2166,992414
2167,173215
2168,1090725
2169,205989
2170,42151
2171,992423
2172,1156267
2173,402605
2174,468146
2175,304308
2176,271546
2177,42171
2178,369854
2179,1025217
2180,271556
2181,42188
2182,1156301
2183,42189
2184,42194
2185,1025235
2186,107738
2187,468197
2188,206061
2189,664836
2190,75013
2191,730376
2192,304397
2193,828698
2194,402721
2195,42273
2196,271651
2197,271655
2198,730410
2199,75050
2200,402734
2201,435502
2202,763186
2203,42291
2204,1058102
2205,894262
2206,304440
2207,42297
2208,42296
2209,730425
2210,304446
2211,402752
2212,42307
2213,861507
2214,9543
2215,304456
2216,75081
2217,206156
2218,75090
2219,107863
2220,435550
2221,697694
2222,42334
2223,271713
2224,42338
2225,763236
2226,861544
2227,402802
2228,271735
2229,271739
2230,992637
2231,337278
2232,42369
2233,271751
2234,992649
2235,664969
2236,402827
2237,435597
2238,370061
2239,304535
2240,140703
2241,730530
2242,75172
2243,501158
2244,992682
2245,42412
2246,75182
2247,435639
2248,992697
2249,599481
2250,337347
2251,206290
2252,796122
2253,959965
2254,861663
2255,468449
2256,697836
2257,42478
2258,42480
2259,632308
2260,42484
2261,402936
2262,75265
2263,75271
2264,140809
2265,402954
2266,697871
2267,173600
2268,370208
2269,992809
2270,206380
2271,1156653
2272,337453
2273,75311
2274,566833
2275,1156659
2276,75316
2277,435765
2278,435766
2279,42548
2280,1025589
2281,75321
2282,271928
2283,42555
2284,337460
2285,108096
2286,271944
2287,75341
2288,75353
2289,337514
2290,337517
2291,337519
2292,730735
2293,173681
2294,304752
2295,337526
2296,75384
2297,337529
2298,337532
2299,337533
2300,337538
2301,337539
2302,468612
2303,140933
2304,337542
2305,42629
2306,337544
2307,337546
2308,435855
2309,140943
2310,140946
2311,140950
2312,665246
2313,140959
2314,140958
2315,370340
2316,75436
2317,501428
2318,501432
2319,42684
2320,206532
2321,337604
2322,206540
2323,141005
2324,42704
2325,206545
2326,42707
2327,272088
2328,534234
2329,599774
2330,141023
2331,665314
2332,698082
2333,435949
2334,665331
2335,337662
2336,370430
2337,337671
2338,75528
2339,141067
2340,42765
2341,272152
2342,1058585
2343,436001
2344,108330
2345,567083
2346,108337
2347,141106
2348,108339
2349,403253
2350,75577
2351,698176
2352,75586
2353,1091400
2354,42826
2355,108369
2356,272215
2357,567132
2358,403293
2359,468833
2360,141154
2361,42850
2362,927588
2363,272233
2364,206700
2365,42863
2366,730991
2367,141169
2368,141170
2369,730994
2370,305011
2371,141175
2372,108410
2373,108414
2374,173951
2375,698247
2376,42888
2377,42889
2378,1091466
2379,370571
2380,665484
2381,370568
2382,1058701
2383,665489
2384,141202
2385,42897
2386,1189782
2387,10138
2388,305050
2389,10140
2390,206749
2391,337819
2392,731040
2393,1189793
2394,272292
2395,42917
2396,42918
2397,42941
2398,42942
2399,272320
2400,108482
2401,42948
2402,960452
2403,42949
2404,42950
2405,75717
2406,10191
2407,10192
2408,10193
2409,10196
2410,272341
2411,141272
2412,927705
2413,272350
2414,272351
2415,763875
2416,796646
2417,272360
2418,272365
2419,174073
2420,1091585
2421,108549
2422,305158
2423,75786
2424,43019
2425,370700
2426,305165
2427,141323
2428,370704
2429,206865
2430,1157141
2431,698401
2432,141346
2433,141347
2434,1157156
2435,305189
2436,305191
2437,337969
2438,75825
2439,632901
2440,108614
2441,141392
2442,43090
2443,141396
2444,141399
2445,141401
2446,43099
2447,141403
2448,141405
2449,272478
2450,665695
2451,141411
2452,764004
2453,141414
2454,272490
2455,534643
2456,796788
2457,796789
2458,108661
2459,206967
2460,403578
2461,206972
2462,1190016
2463,75910
2464,206991
2465,305296
2466,731285
2467,272535
2468,272537
2469,895139
